Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S24
2,Samsung Galaxy S24 SM-S921U1 5G 256GB Black (FACTORY Unlocked) #L297,$404.00,2025-09-30,https://www.ebay.com/itm/116801399704,https://i.ebayimg.com/images/g/iScAAeSwXXho2bPQ/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
2,Samsung Galaxy S24 FE SM-S721U1  128GB 5G Graphite Unlocked #L277,$269.00,2025-09-30,https://www.ebay.com/itm/127400633469,https://i.ebayimg.com/images/g/jx4AAeSwIhBo2bV1/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
2,Samsung Galaxy S24 FE SM-S721U1  256GB 5G Graphite Unlocked #L276,$324.00,2025-09-30,https://www.ebay.com/itm/127400633830,https://i.ebayimg.com/images/g/wvYAAeSwRG1o2bWX/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
2,Very Good Samsung Galaxy S24 - 128 GB -  Verizon Unlocked 1 Yr Wty 🔋 Batt: 99%,$414.97,2025-02-16,https://www.ebay.com/itm/267140709948,https://i.ebayimg.com/images/g/WMMAAOSwNk9nnAKh/s-l500.webp,128 GB,Very Good,False,Galaxy S24,True
2,Samsung Galaxy S24 FE SM-S721U - 128GB - Graphite (Unlocked) - Very Good Cond.,$292.15,2025-09-30,https://www.ebay.com/itm/306454272085,https://i.ebayimg.com/images/g/t0MAAOSwGsJoOQi1/s-l500.webp,128 GB,Very Good,False,Galaxy S24,True
2,Samsung Galaxy S24+ SM-S926U1 Unlocked 512GB Onyx Black Excellent,$475.14,2025-04-03,https://www.ebay.com/itm/196861675588,https://i.ebayimg.com/images/g/NZoAAOSwIgxnS0NE/s-l500.webp,512 GB,Excellent,False,Galaxy S24,True
2,Samsung Galaxy S24 SM-S921U1 5G 256GB violet  (FACTORY Unlocked) #L389,$399.00,2025-09-30,https://www.ebay.com/itm/146860267985,https://i.ebayimg.com/images/g/l9wAAeSwO3Fo2X-B/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
2,Samsung Galaxy S24 FE SM-S721U1  256GB 5G Graphite Unlocked #L272,$324.00,2025-09-30,https://www.ebay.com/itm/146860663995,https://i.ebayimg.com/images/g/6SsAAeSwfcBo2bYS/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
2,Samsung Galaxy S24 SM-S921U1 5G 256GB violet  (FACTORY Unlocked) #L344,$399.00,2025-09-30,https://www.ebay.com/itm/146860338809,https://i.ebayimg.com/images/g/CdkAAeSwGrFo2Yvb/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
2,Samsung Galaxy S24+ PLUS SM-S926U1  256GB 5G VIOLET Unlocked #L361,$379.00,2025-09-29,https://www.ebay.com/itm/116801303336,https://i.ebayimg.com/images/g/cdAAAeSw3y1o2Z3E/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
2,Samsung Galaxy S24 SM-S921B/DS DUAL SIM 5G 256GB Gray (Unlocked) #L261,$414.00,2025-09-29,https://www.ebay.com/itm/146841332532,https://i.ebayimg.com/images/g/N4UAAeSwQc5ozMII/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
2,Samsung Galaxy S24+ PLUS SM-S926U1  256GB 5G Black Unlocked #L347,$429.00,2025-09-29,https://www.ebay.com/itm/127400474345,https://i.ebayimg.com/images/g/ECMAAeSwZ5lo2YyP/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
2,Samsung Galaxy S24 128GB FACTORY Unlocked Verizon ATT TMobile Metro EXCELLENT,$349.48,2025-09-29,https://www.ebay.com/itm/116559489209,https://i.ebayimg.com/images/g/mF8AAOSw7gVn~ACO/s-l500.webp,128 GB,Excellent,False,Galaxy S24,True
2,Samsung Galaxy S24+ SM-S926U1 Unlocked 256GB Jade Green Excellent,$489.84,2025-09-29,https://www.ebay.com/itm/187594802671,https://i.ebayimg.com/images/g/0mQAAeSwZxVo1GWH/s-l500.webp,256 GB,Excellent,False,Galaxy S24,True
2,Samsung Galaxy S24+ PLUS SM-S926U1 512GB 5G BLACK Unlocked #L015,$489.00,2025-09-28,https://www.ebay.com/itm/116795699320,https://i.ebayimg.com/images/g/KsAAAeSw4vZoudtm/s-l500.webp,512 GB,Unknown,False,Galaxy S24,True
2,Samsung Galaxy S24 FE SM-S721U1  256GB 5G BLUE Unlocked #L193,$304.00,2025-09-28,https://www.ebay.com/itm/146841505986,https://i.ebayimg.com/images/g/w9UAAeSw6M5ozOSn/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
2,Samsung Galaxy S24 FE SM-S721U1  256GB 5G Graphite Unlocked #L278,$324.00,2025-09-28,https://www.ebay.com/itm/116801402212,https://i.ebayimg.com/images/g/2c8AAeSwCl9o2bUw/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
