Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_12_Pro,iPhone_13_Pro,iPhone_14_Pro,iPhone_15_Pro,iPhone_16_Pro,iPhone_17_Pro
3,Apple iPhone 12 Pro 128GB Unlocked - Good,$269.99,2025-09-11,https://www.ebay.com/itm/256402197073,https://i.ebayimg.com/images/g/REIAAeSwJ2FoPGUt/s-l500.webp,128 GB,Good,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro - 128GB 256GB 512GB - All Colors - Excellent Condition,$295.00,2025-09-09,https://www.ebay.com/itm/276450580848,https://i.ebayimg.com/images/g/rboAAOSwuQNiaccD/s-l500.webp,128 GB,Excellent,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro 256GB A2341 Unlocked AT&T Verizon T-Mobile Excellent Refurb,$309.99,2025-09-08,https://www.ebay.com/itm/187036208902,https://i.ebayimg.com/images/g/x54AAOSwy55n0Ld7/s-l500.webp,256 GB,Excellent,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro 256GB Unlocked - Excellent,$329.99,2025-09-03,https://www.ebay.com/itm/256288496927,https://i.ebayimg.com/images/g/E5MAAeSwWQNoPGXj/s-l500.webp,256 GB,Excellent,False,iPhone 12 Pro,True,,,,,
3,"Apple iPhone 12 Pro 512GB Unlocked 6.1"" (Pacific Blue) A2341 - w/1 Year Warranty",$335.11,2025-09-02,https://www.ebay.com/itm/356825736864,https://i.ebayimg.com/images/g/DcEAAOSwPXBoC74p/s-l500.webp,512 GB,Unknown,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro Smartphone A2341 512GB Unlocked Excellent,$370.00,2025-09-02,https://www.ebay.com/itm/226688441761,https://i.ebayimg.com/images/g/j1MAAeSwzhZn9DX1/s-l500.webp,512 GB,Excellent,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro A2341 256GB Unlocked Very-Good Condition,$301.99,2025-09-01,https://www.ebay.com/itm/297572467606,https://i.ebayimg.com/images/g/q5wAAeSwPQFogHCX/s-l500.webp,256 GB,Very Good,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro - 128 GB - Pacific Blue (Unlocked) - Excellent Condition,$299.00,2025-09-01,https://www.ebay.com/itm/336155366874,https://i.ebayimg.com/images/g/KCkAAOSwo0RnuD1m/s-l500.webp,128 GB,Excellent,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro- 128 GB - Pacific Blue (Unlocked) - 85%+ Battery Very Good,$279.00,2025-08-12,https://www.ebay.com/itm/335833006232,https://i.ebayimg.com/images/g/KCkAAOSwo0RnuD1m/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro Graphite 512GB Unlocked - Good Condition,$309.99,2025-08-29,https://www.ebay.com/itm/277327809948,https://i.ebayimg.com/images/g/O3sAAeSwa3hon3Qu/s-l500.webp,512 GB,Good,False,iPhone 12 Pro,True,,,,,
